zihai-001322	𦥔
zihai-001324	畁
zihai-001325	畅
zihai-001326	丳
zihai-001338	临
zihai-001341	𤱁
zihai-001342	𤰴
zihai-001343	𤰶
zihai-001344	禺
zihai-001345	𤱉
zihai-001346	𤱋
zihai-001347	𪽉
zihai-001404	丵
zihai-001406	𡙀
zihai-001407	𤱓
zihai-001409	𠳋
zihai-001411	畢
zihai-001414	𤱢
zihai-001415	𤱣
zihai-001416	𠕟
zihai-001419	𠦤
zihai-001426	⿰甲夹
zihai-001427	𧰽
zihai-001429	𠃾
zihai-001433	菐
zihai-001434	𠁴
zihai-001435	褁
zihai-001438	𤕣
zihai-001439	業
zihai-001441	𡙪
zihai-001443	𣌾
zihai-001444	𤲣
zihai-001447	𠁷
zihai-001448	𤰋
zihai-001449	朄
zihai-001501	𦦀
zihai-001503	𤳅
zihai-001506	𥝉
zihai-001509	𠁠
zihai-001510	𤳵
zihai-001514	𤰐
zihai-001601	丿
zihai-001604	乂
zihai-001606	九
zihai-001607	乃
zihai-001608	𠤎
zihai-001610	千
zihai-001611	乇
zihai-001614	川
zihai-001616	𠂍
zihai-001622	久
zihai-001623	丸
zihai-001624	及
zihai-001625	午
zihai-001628	𣬛
zihai-001632	𡈼
zihai-001633	壬
zihai-001634	𠂒
zihai-001635	升
zihai-001636	夭
zihai-001638	𠄒
zihai-001639	𠀉
zihai-001701	𠀈
zihai-001703	丯
zihai-001704	𠔾
zihai-001706	𤓰
zihai-001710	爻
zihai-001711	乏
zihai-001715	𠂏
zihai-001718	𠂔
zihai-001720	𠃕
zihai-001721	𠄓
zihai-001722	匁
zihai-001723	𠂐
zihai-001724	𠂑
zihai-001727	玍
zihai-001730	失
zihai-001731	𠂕
zihai-001732	𢩥
zihai-001733	乍
zihai-001738	丘
zihai-001740	𠂜
zihai-001741	𠂝
zihai-001742	𦓐
zihai-001746	𨈏
zihai-001747	𨈐
zihai-001750	𠂞
zihai-001754	乎
zihai-001755	𠂟
zihai-001757	甩
zihai-001801	𠂡
zihai-001804	𢎣
zihai-001806	册
zihai-001810	乐
zihai-001813	𦓤
zihai-001817	𦈢
zihai-001818	朱
zihai-001819	年
zihai-001821	乔
zihai-001823	𠦅
zihai-001826	𤰃
zihai-001827	乒
zihai-001828	乓
zihai-001829	乑
zihai-001831	𠂥
zihai-001832	𠕍
zihai-001836	𨈑
zihai-001838	𠂤
zihai-001846	甪
zihai-001849	𠂨
zihai-001852	𠂣
zihai-001903	𧰨
zihai-001912	我
zihai-001913	𠣔
zihai-001916	兎
zihai-001917	囪
zihai-001918	𠃤
zihai-001924	幷
zihai-001925	垂
zihai-001931	𧺆
zihai-001932	𠂲
zihai-001933	秉
zihai-001934	乖
zihai-001935	𢏒
zihai-001938	卑
zihai-001939	䖝[J]
zihai-001949	𡭥
zihai-001952	𦙍
zihai-002001	拜
zihai-002004	𧘰
zihai-002005	乗
zihai-002009	重
zihai-002013	𠂷
zihai-002015	𣶒
zihai-002018	禹
zihai-002024	爼
zihai-002028	甮
zihai-002030	胤
zihai-002031	𩇦
zihai-002033	埀
zihai-002038	𡴘
zihai-002039	乘
zihai-002044	𠂽
zihai-002045	𠂺
zihai-002101	𠂾
zihai-002102	𠭔
zihai-002110	𦥫
zihai-002111	𠃀
zihai-002112	𠃁
zihai-002113	𠃂
zihai-002114	𠦬
zihai-002115	𠂿
zihai-002119	𡙇
zihai-002121	𥟅
zihai-002128	𥝀
zihai-002129	𪀋
zihai-002133	𫟚
zihai-002140	𠌶
zihai-002144	𡑈
zihai-002145	睾
zihai-002151	𡼻
zihai-002153	𠃇
zihai-002201	𥡝
zihai-002203	舉
zihai-002204	𡚆
zihai-002205	𨤴
zihai-002206	𦦘
zihai-002207	𦦙
zihai-002210	𢣟
zihai-002212	𥝈
zihai-002214	𦦔
zihai-002216	𦦦
zihai-002221	𦦛
zihai-002222	𦦤
zihai-002223	𦦧
zihai-002225	𦦯
zihai-002226	舋
zihai-002229	𥝊
zihai-002231	𦦷
zihai-002232	⿲𠂤益𠂤
zihai-002233	𠃈
zihai-002234	𦦻
zihai-002235	𥝋
zihai-002238	𦧁
zihai-002301	丶
zihai-002303	丫
zihai-002304	义
zihai-002305	𠁼
zihai-002306	𢖩
zihai-002307	之
zihai-002312	丹
zihai-002313	为
zihai-002314	冘
zihai-002315	书
zihai-002317	丼
zihai-002324	半
zihai-002326	𠃠
zihai-002334	州
zihai-002335	𫞖
zihai-002338	农
zihai-002339	𠦑
zihai-002340	𠂂
zihai-002342	𢗈
zihai-002405	𢗺
zihai-002408	举
zihai-002409	単
zihai-002411	𡔨
zihai-002419	𡙅
zihai-002501	乙
zihai-002502	亅
zihai-002503	乚
zihai-002504	乀
zihai-002505	𠃊
zihai-002506	𡿨
zihai-002507	𠄌
zihai-002508	𠃋
zihai-002509	𠃌
zihai-002510	乁
zihai-002511	𠃉
zihai-002512	𠄎
zihai-002513	丩
zihai-002514	𠂈
zihai-002515	刁
zihai-002519	𠙴
zihai-002521	了
zihai-002522	𠄏
zihai-002523	𠄍
zihai-002524	巜
zihai-002525	𢎘
zihai-002526	乜
zihai-002527	𠃏
zihai-002528	𠃐
zihai-002531	卂
zihai-002532	夨
zihai-002535	卫
zihai-002536	也
zihai-002537	𡳾
zihai-002538	乞
zihai-002539	𠃓
zihai-002541	乆
