# KangXi Dictionary Index
# 
# * … Subordinate characters.
# # … Comments
#
# Warning:  1586ページ以降はまだ適当に並べただけ。
# 
KX0089.025	𠆝
KX0090.001	亹
KX0091.001	人
KX0091.002	𠔽*
KX0091.003	亼
KX0091.004	𠆣
KX0091.005	𠆤
KX0091.006	什
KX0091.007	仁
KX0091.008	忎*
KX0091.009	𡰥*
KX0091.010	仂
KX0091.011	仃
KX0091.012	仄
KX0091.013	仅
KX0091.014	仆
KX0091.015	仇
KX0091.016	仈
KX0091.017	仉
KX0091.018	今
KX0091.019	介
KX0092.001	仌
KX0092.002	仍
KX0092.003	从
KX0092.004	𠆦
KX0092.005	仏
KX0092.006	仔
KX0092.007	仕
KX0092.008	㐰
KX0092.009	他
KX0092.010	仗
KX0092.011	㐱
KX0092.012	付
KX0092.013	仙
KX0092.014	仚
KX0093.001	仛
KX0093.002	仜
KX0093.003	仝
KX0093.004	仞
KX0093.005	仟
KX0093.006	仠
KX0093.007	仡
KX0093.008	㐲
KX0093.009	𠆩
KX0093.010	仢
KX0093.011	代
KX0093.012	令
KX0094.001	以
KX0094.002	㠯*
KX0094.003	㐳
KX0094.004	𠆪
KX0094.005	㐴
KX0094.006	仮
KX0094.007	仯
KX0094.008	仰
KX0094.009	仱
KX0094.010	㐸
KX0094.011	仲
KX0094.012	仳
KX0094.013	𠆴
KX0094.014	㐹
KX0094.015	𠆵
KX0094.016	仴
KX0094.017	仵
KX0094.018	件
KX0094.019	𠆶
KX0094.020	价
KX0094.021	仸
KX0094.022	仹
KX0094.023	仺
KX0094.024	任
KX0094.025	仼
KX0094.026	份
KX0095.001	仾
KX0095.002	仿
KX0095.003	伀
KX0095.004	企
KX0095.005	𠈮*
KX0095.006	𠆷
KX0095.007	伂
KX0095.008	伃
KX0095.009	伄
KX0095.010	伅
KX0095.011	伆
KX0095.012	伇
KX0095.013	伈
KX0095.014	伉
KX0095.015	伊
KX0095.016	𦯴*
KX0095.017	𠈽*
KX0095.018	伋
KX0095.019	伌
KX0095.020	伍
KX0095.021	伎
KX0095.022	㐺
KX0095.023	伏
KX0096.001	伐
KX0096.002	休
KX0096.003	𠆸
KX0096.004	𠆹
KX0096.005	𠆺
KX0096.006	伒
KX0096.007	𠆻
KX0096.008	伓
KX0096.009	㐻
KX0096.010	伔
KX0096.011	㐼
KX0096.012	𠆼
KX0096.013	伭
KX0096.014	伮
KX0096.015	㑁
KX0096.016	伯
KX0096.017	估
KX0096.018	𠇗
KX0096.019	㑂
KX0096.020	伱
KX0096.021	伲
KX0096.022	伳
KX0096.023	伴
KX0097.001	𠇘
KX0097.002	伵
KX0097.003	伶
KX0097.004	伷
KX0097.005	㑃
KX0097.006	伸
KX0097.007	伹
KX0097.008	伺
KX0097.009	伻
KX0097.010	似
KX0097.011	𠚦*
KX0097.012	伽
KX0097.013	伾
KX0097.014	伿
KX0097.015	佀
KX0097.016	佁
KX0097.017	佂
KX0097.018	佃
KX0097.019	佄
KX0097.020	佅
KX0097.021	但
KX0097.022	佇
KX0098.001	佈
KX0098.002	㑄
KX0098.003	佉
KX0098.004	佊
KX0098.005	佋
KX0098.006	佌
KX0098.007	位
KX0098.008	低
KX0098.009	住
KX0098.010	佐
KX0098.011	佑
KX0098.012	佒
KX0098.013	体
KX0098.014	佔
KX0098.015	何
KX0098.016	佖
KX0098.017	佗
KX0099.001	佘
KX0099.002	余
KX0099.003	佚
KX0099.004	佛
KX0099.005	𠇛*
KX0099.006	仏*
KX0099.007	作
KX0099.008	胙*
KX0099.009	𢓓*
KX0099.010	佝
KX0099.011	佞
KX0099.012	佟
KX0099.013	𠇙
KX0099.014	𠇚
KX0100.001	𠇛
KX0100.002	𠇜
KX0100.003	𠈃
KX0100.004	佩
KX0100.005	㑉
KX0100.006	佪
KX0100.007	𠈄
KX0100.008	佫
KX0100.009	佬
KX0100.010	佭
KX0100.011	𠈅
KX0100.012	佮
KX0100.013	佯
KX0100.014	佰
KX0100.015	佱
KX0100.016	𠈆
KX0100.017	佲
KX0100.018	佳
KX0100.019	𠈇
KX0100.020	㑊
KX0100.021	佴
KX0100.022	併
KX0100.023	佶
KX0100.024	佷
KX0100.025	佸
KX0100.026	㑋
KX0100.027	佹
KX0100.028	𠈈
KX0100.029	佺
KX0100.030	佻
KX0101.001	佼
KX0101.002	佽
KX0101.003	佾
KX0101.004	𢔍*
KX0101.005	使
KX0101.006	𡥐*
KX0101.007	𠭆*
KX0101.008	侀
KX0101.009	侁
KX0101.010	侂
KX0101.011	侃
KX0101.012	𠈉*
KX0101.013	𠈉
KX0101.014	侄
KX0101.015	侅
KX0101.016	來
KX0101.017	徠*
KX0101.018	侇
KX0101.019	侈
KX0101.020	𠈎*
KX0101.021	㑌
KX0101.022	侉
KX0101.023	侊
KX0101.024	例
KX0101.025	侌
KX0101.026	侍
KX0102.001	𠈊
KX0102.002	侎
KX0102.003	侏
KX0102.004	侐
KX0102.005	侑
KX0102.006	侒
KX0102.007	侓
KX0102.008	侔
KX0102.009	侕
KX0102.010	侖
KX0102.011	㑍
KX0102.012	侗
KX0102.013	侘
KX0102.014	侙
KX0102.015	侚
KX0102.016	供
KX0102.017	侜
KX0102.018	依
KX0102.019	㑎
KX0102.020	𠈋
KX0102.021	侞
KX0102.022	𠈌
KX0102.023	㑏
KX0102.024	𠈍
KX0102.025	侟
KX0102.026	𠈎
KX0102.027	𠈏
KX0102.028	𠈐
KX0102.029	𠈑
KX0103.001	侮
KX0103.002	㑄*
KX0103.003	㚢*
KX0103.004	𢘃*
